id,Name,Tags,Price,Area,City,Rating,Link
cd47aa81-2d33-4441-be52-77ccf82d7e7b,The Lazzat Muradabadi Chicken Biryani Corner,"Biryani, North Indian",100 for one,,Barabanki,4.2,https://www.zomato.com//barabanki/the-lazzat-muradabadi-chicken-biryani-corner-barabanki-locality/order
5905218c-6724-42cc-802b-5520c0e9e790,Shobha Bakery,"Bakery, Desserts",100 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/shobha-bakery-barabanki-locality/order
2df23ba3-948c-4872-a99c-72c96705ffe7,Tandon Ji Kachauri,Street Food,40 for one,,Barabanki,4.6,https://www.zomato.com//barabanki/tandon-ji-kachauri-barabanki-locality/order
4d0679f2-d299-48c5-908f-d6a199b4193a,Desiaan,"Chinese, South Indian, North Indian",150 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/desiaan-barabanki-locality/order
89fdfc62-2fcb-419b-a4c7-514cd1367599,Mirch Masala,Mughlai,100 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/mirch-masala-barabanki-locality/order
ddc80b11-ceaa-4e99-b669-505445ca3789,Shere Panjab Restaurant,"North Indian, Chinese",100 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/shere-panjab-restaurant-barabanki-locality/order
0b99077d-cba1-4406-8755-8d43e692772d,The Maggi Shop,Fast Food,40 for one,,Barabanki,3.5,https://www.zomato.com//barabanki/the-maggi-shop-barabanki-locality/order
4209fbc6-28fa-43b8-9f46-9ec76e09a117,Krishna Sweets,Desserts,40 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/krishna-sweets-barabanki-locality/order
f103ba58-b4e8-489a-ad1a-f68dcee6574f,Food Junction,"North Indian, Chinese",150 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/food-junction-barabanki-locality/order
edcf821e-fbd4-4053-9db9-a69b500ce54b,Food Zest,"North Indian, Chinese, Continental",100 for one,,Barabanki,3.8,https://www.zomato.com//barabanki/food-zest-barabanki-locality/order
31442927-2c39-43cc-87ca-d486a02e8849,Bindra Sweets,Desserts,100 for one,,Barabanki,4.2,https://www.zomato.com//barabanki/bindra-sweets-barabanki-locality/order
6e518ada-da46-43b5-8a95-c14b35995d41,Nonveg Point,Mughlai,100 for one,,Barabanki,3.7,https://www.zomato.com//barabanki/nonveg-point-barabanki-locality/order
edc69227-51d8-46a3-aa76-f22abd97948b,Pawan S Kichane,Fast Food,100 for one,,Barabanki,3.6,https://www.zomato.com//barabanki/pawan-s-kichane-barabanki-locality/order
274259fe-3a12-4337-ac3d-8b351a37e0e0,Rana Veg Corner,"North Indian, Street Food",100 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/rana-veg-corner-barabanki-locality/order
95f75dc6-67d2-4363-9b14-2cccd9b00b38,Sardar Ji Tandoori Bites,"North Indian, Chinese",100 for one,,Barabanki,3.9,https://www.zomato.com//barabanki/sardar-ji-tandoori-bites-barabanki-locality/order
9b1f54c7-ad7b-4b96-afaf-533b2903b592,Aryan Baker's,"South Indian, North Indian",100 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/aryan-bakers-barabanki-locality/order
b7088caf-f8f8-43f6-85c4-35e68d91e6d0,The Licking Fingers,"Fast Food, Desserts",100 for one,,Barabanki,3.3,https://www.zomato.com//barabanki/the-licking-fingers-1-barabanki-locality/order
e7b1a7cf-2c70-4202-97f1-0a90210013b9,Chhabra Eating Point,North Indian,100 for one,,Barabanki,4.3,https://www.zomato.com//barabanki/chhabra-eating-point-1-barabanki-locality/order
b2c6d2dd-039f-4ab7-8166-22fda25d1db1,Burger Point,"Fast Food, Beverages",100 for one,,Barabanki,3.5,https://www.zomato.com//barabanki/burger-point-barabanki-locality/order
17d8fa6a-dea0-4adf-99bb-26f943c077e5,Roti and Curry Restaurant,"North Indian, South Indian",100 for one,,Barabanki,3.8,https://www.zomato.com//barabanki/roti-and-curry-restaurant-barabanki-locality/order
